# ----------------------------------------
# kaijo-fishing.com
# weekly-report-Weekly-analyss
# 20260613-20260620
# ----------------------------------------

,,セグメント,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック
夜釣りはなぜ釣れるのか？光と暗闇が魚の行動を変えるメカニズム — 海上アングラー,/column/trivia/night-fishing-biology/,new,1,1,1,182,1,0,1,1,1,182,1,0,0,0,0,0,0,0,1,1,1,182,1,0
感度重視！脈釣り（ミャク釣り）専用タックルの特徴と選び方 — 海上アングラー,/blog/tactics/gear/myakuzuri-gear/,new,1,1,1,29,1,0,1,1,1,29,1,0,0,0,0,0,0,0,1,1,1,29,1,0
新潟県の海上釣り堀・海釣り施設一覧（中日本） — 海上アングラー,/fishing-facility/center-japan/niigata/,new,1,1,1,10,0,1,1,1,1,10,0,1,0,0,0,0,0,0,1,1,1,10,0,1
海上アングラー — 日本一の海上釣り堀総合情報サイト,/,established,1,1,1,41,1,0,1,1,1,41,1,0,1,1,1,41,1,0,0,0,0,0,0,0
海上アングラー — 日本一の海上釣り堀総合情報サイト,/blog/fishing-facility/west-japan/,established,1,1,1,16,1,0,1,1,1,16,1,0,1,1,1,16,1,0,0,0,0,0,0,0
海上アングラー — 日本一の海上釣り堀総合情報サイト,/blog/kaijo-tsuribori-taikoubou/,new,1,1,0,5,1,0,1,1,0,5,1,0,1,1,0,5,1,0,0,0,0,0,0,0
海上アングラー — 日本一の海上釣り堀総合情報サイト,/blog/matsunase-fishing-park/,new,1,1,2,13,1,0,1,1,2,13,1,0,0,0,0,0,0,0,1,1,2,13,1,0
海上アングラー — 日本一の海上釣り堀総合情報サイト,/blog/mukai-pearl-marine/,new,1,1,0,34,1,0,1,1,0,34,1,0,1,1,0,34,1,0,0,0,0,0,0,0
海上アングラー — 日本一の海上釣り堀総合情報サイト,/column/ranking/mie-wakayama/,new,1,1,0,2,1,0,1,1,0,2,1,0,1,1,0,2,1,0,0,0,0,0,0,0
海上釣り堀の1日費用を完全計算。入場料・エサ・タックル・交通費まで3パターンで試算 — 海上アングラー,/blog/cost-calculation-guide/,new,1,1,1,23,1,0,1,1,1,23,1,0,0,0,0,0,0,0,1,1,1,23,1,0
海上釣り堀のウキ仕掛け入門｜棚取りの精度を上げるための必須アイテム — 海上アングラー,/blog/tactics/gear/uki-setup/,new,1,1,1,138,1,0,1,1,1,138,1,0,0,0,0,0,0,0,1,1,1,138,1,0
海上釣り堀のマダイ（真鯛）攻略法。初心者から竿頭を目指すための基本とコツ — 海上アングラー,(not set),new,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
海上釣り堀のマダイ（真鯛）攻略法。初心者から竿頭を目指すための基本とコツ — 海上アングラー,/blog/tactics/fish-strategy/madai/,new,1,1,1,195,1,0,1,1,1,195,1,0,0,0,0,0,0,0,1,1,1,195,1,0
海上釣り堀のマナーとルール｜周りと楽しく釣るための基礎知識 — 海上アングラー,/blog/tactics/beginner/fishing-etiquette/,new,1,1,1,100,1,0,1,1,1,100,1,0,0,0,0,0,0,0,1,1,1,100,1,0
海上釣り堀・初心者ガイド｜初めての1匹を釣るための完全ロードマップ — 海上アングラー,/tactics/beginner/,new,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
真鯛が赤くなる理由とは？釣り堀で役立つ魚の習性と色の関係性 — 海上アングラー,/blog/why-madai-red/,new,1,1,2,18,1,0,1,1,2,18,1,0,0,0,0,0,0,0,1,1,2,18,1,0
真鯛の捌き方と調理法｜海上釣り堀で釣れる魚を最大限に活かす完全ガイド — 海上アングラー,/column/trivia/true-dai-cooking/,new,1,1,1,37,1,0,1,1,1,37,1,0,0,0,0,0,0,0,1,1,1,37,1,0
釣ったカンパチの美味しい食べ方｜刺身・漬け・西京焼きの完全レシピ — 海上アングラー,/blog/column/trivia/how-to-cook-kampachi/,new,1,1,1,6,0,1,1,1,1,6,0,1,0,0,0,0,0,0,1,1,1,6,0,1
釣ったカンパチの美味しい食べ方｜刺身・漬け・西京焼きの完全レシピ — 海上アングラー,/column/trivia/how-to-cook-kampachi/,new,1,1,1,98,1,0,1,1,1,98,1,0,0,0,0,0,0,0,1,1,1,98,1,0
釣った直後より熟成後が美味しい？魚の「旨味成分」の変化を科学する — 海上アングラー,/column/trivia/aging-fish-science/,new,1,1,1,10,1,0,1,1,1,10,1,0,0,0,0,0,0,0,1,1,1,10,1,0
釣った魚の扱い方｜針の外し方から鮮度を保つ「締め方」の基本 — 海上アングラー,/tactics/beginner/fish-handling/,new,1,1,1,52,1,0,1,1,1,52,1,0,1,1,1,52,1,0,0,0,0,0,0,0
釣り場を探す — 海上アングラー,/blog/matsunase-fishing-park/,new,1,1,1,3,1,0,1,1,1,3,1,0,0,0,0,0,0,0,1,1,1,3,1,0
釣り座は選べる？有利な場所の科学。釣り堀の「場所選び」完全ガイド — 海上アングラー,/blog/seat-selection-strategy/,new,1,1,2,0.5,0,1,1,1,2,0.5,0,1,0,0,0,0,0,0,1,1,2,0.5,0,1
青森県の海上釣り堀・海釣り施設一覧（東日本） — 海上アングラー,/fishing-facility/east-japan/aomori/,new,1,1,1,10,1,0,1,1,1,10,1,0,0,0,0,0,0,0,1,1,1,10,1,0
高級魚シマアジを海上釣り堀で攻略｜繊細なアタリと強烈な引きへの対策 — 海上アングラー,/tactics/fish-strategy/shimaji/,new,1,1,1,43,1,0,1,1,1,43,1,0,0,0,0,0,0,0,1,1,1,43,1,0
Error 404 — 海上アングラー,,,1,1,0,4,0,1,0,0,0,0,0,0,1,1,0,4,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/2025/07/kansai/matomekiji-kansai/,new,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
Error 404 — 海上アングラー,/column/ranking/nihonkai-hokuriku/,new,1,1,0,157,1,0,1,1,0,157,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Error 404 — 海上アングラー,/fishing-facility/west-japan/miyazaki/shibushi-bay-daikoku-dolphin-land/,new,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
Error 404 — 海上アングラー,/fishing-facility/west-japan/okinawa/itoman-ikada-tsurigu-no-zousan/,new,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1
Error 404 — 海上アングラー,/page/11/,new,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/page/15/,new,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/page/3,new,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/page/3/,new,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/page/4,new,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/page/4/,new,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/page/5,new,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/page/5/,new,1,1,1,2,0,1,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/page/7,new,1,1,1,2,0,1,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/page/7/,new,1,1,1,2,0,1,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/page/9/,new,1,1,1,4,0,1,0,0,0,0,0,0,1,1,1,4,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/tag/京都府,new,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/tag/京都府/,new,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/tag/年中無休/,new,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/tag/年間パス有り,new,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/tag/新潟県,new,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/tag/格安料金/,new,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/tag/比較/,new,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/tag/深場釣り/,new,1,1,1,3,0,1,0,0,0,0,0,0,1,1,1,3,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/tag/石川県,new,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/tag/福岡県,new,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/tag/福岡県/,new,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/tag/釣り旅行/,new,1,1,1,2,0,1,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/tag/防波堤,new,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
Posts by tag '手ぶらOK' — 海上アングラー,/blog/sakurajima-sea-fishing-park/,new,1,1,4,317,1,0,0,0,0,0,0,0,1,1,4,317,1,0,0,0,0,0,0,0
【2026年最新版】中日本の海上釣り堀おすすめランキング・海釣り施設一覧 — 海上アングラー,(not set),(not set),1,1,0,9,0,1,0,0,0,0,0,0,1,1,0,9,0,1,0,0,0,0,0,0
【2026年最新版】関東・東日本の海上釣り堀おすすめランキング・海釣り施設一覧 — 海上アングラー,/blog/miura-kaiou/,new,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
【三重県】あなたに逢い鯛。釣り堀｜少人数限定！プライベート感満載の海上釣り堀 — 海上アングラー,/blog/anatani-aitai-fishing/,new,1,1,1,77,1,0,1,1,1,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0
【三重県】はさま浦釣り堀センター｜マダイ1匹保証＆最速移動の宿泊パックが魅力 — 海上アングラー,/blog/hasamaura-fishing-center/,new,1,1,1,115,1,0,1,1,1,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0
【和歌山県】由良海つり公園｜海上釣り堀＆筏釣りの二刀流！由良湾の穏やかな海で大物を狙う — 海上アングラー,/fishing-facility/yura-sea-fishing-park/,new,1,1,1,82,1,0,0,0,0,0,0,0,1,1,1,82,1,0,0,0,0,0,0,0
【大阪府】小島養漁場｜入り江を丸ごと釣場に！ルアーもOKな「超・自然派」海上釣り堀 — 海上アングラー,/blog/koshima-sea-fishing-pond/,new,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
【大阪府】海上釣堀 岬｜深日港から徒歩圏内！電車で行ける数少ない海上釣り堀 — 海上アングラー,/blog/kaijo-tsuribori-misaki/,new,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
【広島県】海上釣堀 大漁丸｜名物レモンサーモンと巨大青物が狙える離島イカダ！手厚い保証も魅力 — 海上アングラー,/blog/kaijo-tsuribori-tairyomaru/,new,1,1,1,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,103,1,0
【愛知県】爆釣 美浜フィッシングパーク｜高級魚が狙える知多半島の釣り堀・料金・アクセス情報 — 海上アングラー,/blog/bakucho-mihama-fishing-park/,new,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
【理屈】マダイの「視覚」と「色彩認識」の科学：なぜ海上釣り堀で「黄色」と「赤」が特効薬なのか？ — 海上アングラー,/tactics/fish-strategy/madai/theory/,new,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
【神奈川県】みうら海王｜関東唯一の本格体験！船で渡る海上釣り堀でブリ・カンパチを狙え — 海上アングラー,/blog/miura-kaiou/,new,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
【茨城県】大洗海釣り公園｜鹿島灘のマダイ・青物を狙う関東圏アクセス抜群の海上釣り堀 — 海上アングラー,(not set),(not set),1,1,0,96,0,1,0,0,0,0,0,0,1,1,0,96,0,1,0,0,0,0,0,0
スピニングリールの選び方と道糸の重要性｜PEライン vs ナイロン — 海上アングラー,/blog/tactics/gear/reel-and-line/,new,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
プライバシーポリシー — 海上アングラー,/privacy/,new,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
初心者が覚えるべき必須の結び方3選！強くて簡単な糸の結び方 — 海上アングラー,/blog/tactics/beginner/essential-knots/,new,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
海上アングラー — 日本一の海上釣り堀総合情報サイト,(not set),(not set),1,1,0,233,0,1,0,0,0,0,0,0,1,1,0,233,0,1,0,0,0,0,0,0
海上アングラー — 日本一の海上釣り堀総合情報サイト,/column/ranking/nihonkai-hokuriku/,new,1,1,0,52,1,0,1,1,0,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0
海上アングラーについて — 海上アングラー,/about/,new,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
海上釣り堀のブリ（ワラサ・メジロ）攻略。大型青物の引きを制する秘策 — 海上アングラー,/tactics/fish-strategy/buri/,new,1,1,1,145,1,0,0,0,0,0,0,0,1,1,1,145,1,0,0,0,0,0,0,0
釣り場を探す — 海上アングラー,(not set),new,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
釣り場を探す — 海上アングラー,/fishing-facility/west-japan/miyazaki/shibushi-bay-daikoku-dolphin-land/,new,1,1,1,444,1,0,0,0,0,0,0,0,1,1,1,444,1,0,0,0,0,0,0,0
釣果を分ける「ハリス」の選び方｜フロロカーボンの号数と長さの基準 — 海上アングラー,/tactics/gear/harris-importance/,new,1,1,1,6,0,1,1,1,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
【三重県】つり堀傳八屋｜13種以上の高級魚＆青物乱舞のイベントデーが熱い！ — 海上アングラー,/blog/tsuribori-denpachiya/,established,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
【東京都】江戸前海上釣り堀｜東京湾奥から海上釣り堀デビュー！都市部アングラーの入門スポット — 海上アングラー,(not set),new,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
【極味】イサキ攻略：至高の「皮霜造り」と「白子・真子」！初夏の味覚を活かす究極レシピ — 海上アングラー,,new,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"【沖縄県】糸満イカダ｜大人2,800円！那覇空港30分で高級魚タマンに挑む天然釣り場 — 海上アングラー",/blog/itoman-ikada-tsurigu-no-zousan/,established,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
【福井県】シーパーク丹生｜手ぶらでGO！釣った真鯛をその場でBBQ！究極の「食育」体験 — 海上アングラー,/blog/seapark-nyu/,established,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
【福井県】フィッシングレインボー｜三方五湖・日向湖で楽しむ！人気の海上釣り堀・料金・予約・攻略 — 海上アングラー,/fishing-facility/fishing-rainbow/,established,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
【閉業】海釣り公園みかた｜釣ってその場でBBQ！食育にも最適な体験型釣り堀（福井県若狭町） — 海上アングラー,,new,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
兵庫県の海上釣り堀・海釣り施設一覧（西日本） — 海上アングラー,/fishing-facility/west-japan/hyogo/,established,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1

